customer_id,age,monthly_charges,contract_length,num_support_calls,churn
C0001,23,86.32,1,9,1
C0002,62,68.14,1,1,0
C0003,55,61.83,24,8,0
C0004,43,44.29,12,0,0
C0005,42,31.51,12,4,0
C0006,66,55.27,24,5,0
C0007,22,63.92,12,3,0
C0008,57,100.36,12,1,0
C0009,29,67.61,1,1,0
C0010,23,84.65,1,8,1
C0011,48,55.01,12,3,0
C0012,73,41.3,12,3,0
C0013,59,45.7,12,9,1
C0014,61,50.5,24,1,0
C0015,58,107.57,12,9,0
C0016,62,48.57,12,9,0
C0017,47,81.77,12,5,0
C0018,25,46.94,1,1,1
C0019,65,83.63,1,1,0
C0020,43,72.7,12,2,0
C0021,46,61.87,1,5,0
C0022,39,64.18,12,1,0
C0023,28,51.9,24,4,0
C0024,70,73.92,1,1,0
C0025,62,55.9,1,5,0
C0026,54,40.49,1,0,0
C0027,40,39.44,1,7,0
C0028,64,68.45,12,0,0
C0029,49,96.58,12,1,0
C0030,43,68.2,24,1,0
C0031,43,62.63,12,8,1
C0032,30,70.72,12,0,0
C0033,23,91.12,24,4,1
C0034,49,69.39,1,5,0
C0035,68,56.78,1,5,1
C0036,21,87.13,1,6,0
C0037,66,73.58,12,8,0
C0038,65,95.72,12,3,0
C0039,33,68.66,1,8,0
C0040,54,40.51,12,3,1
C0041,27,37.64,1,9,1
C0042,61,98.02,12,5,0
C0043,57,99.47,12,7,0
C0044,38,61.41,1,8,0
C0045,21,57.34,1,7,1
C0046,73,94.23,12,8,0
C0047,43,42.86,1,5,1
C0048,68,47.11,1,0,0
C0049,56,77.87,1,4,0
C0050,62,57.11,24,1,0
C0051,61,64.9,24,8,1
C0052,29,61.73,12,2,0
C0053,38,71.75,1,2,0
C0054,44,93.15,24,2,0
C0055,46,66.81,24,6,0
C0056,20,77.88,12,5,0
C0057,49,24.0,12,9,0
C0058,26,64.03,1,4,1
C0059,60,48.14,1,2,0
C0060,56,40.62,24,0,0
C0061,70,47.44,12,0,0
C0062,60,58.32,1,3,0
C0063,38,83.32,1,9,0
C0064,73,38.47,12,5,0
C0065,41,65.61,1,8,1
C0066,36,55.32,24,1,0
C0067,69,58.45,24,0,0
C0068,39,85.06,12,8,0
C0069,22,75.76,12,1,0
C0070,44,91.75,12,0,0
C0071,63,61.91,12,4,0
C0072,28,51.08,12,9,0
C0073,44,60.52,1,6,0
C0074,25,69.85,12,0,0
C0075,57,68.53,1,8,0
C0076,45,43.31,12,8,1
C0077,36,66.81,1,8,1
C0078,30,69.56,1,9,1
C0079,50,115.35,1,2,1
C0080,56,102.54,12,9,1
C0081,71,47.94,1,3,1
C0082,42,59.25,24,8,0
C0083,27,35.73,12,5,1
C0084,65,53.19,1,7,1
C0085,53,71.31,12,6,0
C0086,57,89.12,1,6,1
C0087,23,50.42,24,6,0
C0088,35,51.92,12,7,0
C0089,61,22.05,24,7,0
C0090,65,61.75,1,1,1
C0091,42,43.75,12,8,0
C0092,63,54.41,12,5,0
C0093,65,47.46,24,3,0
C0094,40,63.11,12,5,0
C0095,69,29.85,12,9,1
C0096,34,35.66,1,8,0
C0097,31,107.58,1,8,1
C0098,56,39.25,12,4,1
C0099,54,43.06,12,7,1
C0100,25,101.74,1,3,0
